"tipo_producto","marca","nombre_comercial","denominacion_venta","rnpa",""
"8","Glutamin","No registra","Módulo l - Glutamina, libre de lactosa y gluten - Uso exclusivo para nutrición enteral ","02-569093",""
"8","L-K adultos ","No registra","Alimento dietético nutricionalmente completo y balanceado. A base de maltodextrina, caseinato de calcio, aceites vegetales, sacarosa, vitaminas y minerales (sabor vainilla). Libre de gluten","02-502790",""
"8","L-K Adultos Multi Fibre ","No registra","Alimento dietético a base de maltodextrina, caseinato de calcio, mezcla de fibras, aceites vegetales, vitaminas y minerales, sabor vainilla libre de lactosa y gluten ","02-502046",""
"8","Nutentar - Dextrosa","No registra","Monohidrato de dextrosa libre de gluten ","02-581247",""
"8","Nutentar - Espesante Blue","No registra","Alimento para propósito médico a base de almidón modificado. Libre de gluten - Espesante instantáneo de alimentos y bebidas","02-581244",""
"8","Nutentar - Sustenta de Vainilla","No registra","Alimento para propósitos médicos específicos en polvo, a base de carbohidratos, lípidos, proteínas, vitaminas y minerales. Adicionado con polisacárido de soja, FOS e inulina, sabor vainilla. Libre de gluten ","02-581251",""
"8","Nutentar - Sustenta Neutro","No registra","Alimento para propósitos médicos específicos en polvo, a base de carbohidratos, lípidos, proteínas, vitaminas y minerales. Adicionado con polisacárido de soja, FOS e inulina. Libre de gluten ","02-581249",""
"8","Nutentar - Sustenta Neutro","No registra","Alimento para propósitos médicos específicos a base de carbohidratos, lípidos, proteínas y minerales - Libre de gluten ","02-581802",""
"8","Nutentar - Sustenta Vainilla","No registra","Alimento para propósitos médicos específicos a base de carbohidratos, lípidos, proteínas y minerales sabor vainilla - Libre de gluten ","02-581804",""
"8","Nutrilon AR","No registra","Alimento para propósitos médicos específicos, en polvo, con ácidos grasos poliinsaturados de cadena larga y nucleótidos, para lactantes. Libre de gluten","02-584144 ",""
"8","Nutrilon Sin Lactosa","No registra","Alimento para propósitos médicos específicos sin lactosa, con hierro, ácidos grasos poliinsaturados de cadena larga y nucleótidos, para lactantes. Libre de gluten","02-555592",""
"8","Peptisorb","No registra","Alimento para propósitos médicos específicos. Nutricionalmente completo a base de maltodextrina, caseína hidrolizada, triglicéridos de cadena media, aceite de canola, aceite de girasol, vitaminas y minerales. Sabor neutro - Libre de gluten ","02-565250",""
"8","Vital Infantil RR","No registra","Alimento para propósitos médicos específicos, en polvo, para lactantes y niños en la primera infancia. Libre de lactosa. Libre de gluten","02-572823",""
"9","Nora's Skills","No registra","Azúcar impalpable - Libre de gluten","02-530160",""
"10","Pleny -Granola ""frutas regionales light""","No registra","Alimento a base de cereales, semillas integrales, pasas de uva, manzana y damasco, sin azúcar agregada - Libre de gluten","02-588592",""
"10","Pleny lemon pie light - Barra de cereal","No registra","Alimento a base de cereales cubierto con baño de repostería fantasía yogur light sabor lemon pie, sin azúcar agregado, libre de gluten","02-590772",""
"10","Pleny manzana light - Barra de cereal","No registra","Alimento a base de cereales cubierto con baño de repostería fantasía yogur light sabor manzana, sin azúcar agregado, libre de gluten","02-590774",""
"10","Pleny Sport sabor chocolate blanco con arándanos - Barra de cereal","No registra","Alimento a base de soja, semillas, arroz y arándanos cubierto con baño de repostería fantasía blanco - Libre de gluten","02-593491",""
"10","Pleny Sport sabor chocolate blanco con pasas de uva - Barra de cereal","No registra","Alimento a base soja, semillas, arroz y pasas de uva cubierto con baño de repostería fantasía blanco - Libre de gluten","02-593490",""
"10","Pleny Sport sabor chocolate con almendras - Barra de cereal","No registra","Alimento a base de soja, semillas, arroz y almendras cubierto con baño de repostería semiamargo - Libre de gluten","02-593487",""
"10","Pleny Sport sabor chocolate con banana - Barra de cereal","No registra","Alimento a base soja, semillas, arroz y banana cubierto con baño de repostería semiamargo - Libre de gluten","02-593489",""
"10","Seed Bars Chocolate con Baño de Chocolate - Barra de cereal","No registra","Barra de cereal sabor chocolate con baño de chocolate - Libre de gluten","02-552957",""
"10","Seed Bars Yogur Frutilla - Barra de cereal ","No registra","Barra de cereal sabor yogur frutilla cubierto con baño de repostería fantasía blanco con yogur, libre de gluten ","02-520419",""
"10","Seed Bars Yogurt Durazno - Barra de cereal","No registra","Barra de cereal sabor yogurt de durazno - Libre de gluten.","02-552955",""
"10","Seed Bars Yogurt Durazno con Crema ","No registra","Alimento a base de cereales con baño de yogurt sabor durazno con crema - Libre de gluten - Barra de cereales.","02-565414",""
"10","Seed Bars Yogurt Frutos Rojos ","No registra","Alimento a base de cereales con baño de yogurt sabor frutos rojos, libre de gluten - Barra de cereal ","02-565412",""
"10","Seed Bars Yogurt Manzana","No registra","Alimento a base de cereales con baño de yogurt sabor manzana, libre de gluten - Barra de cereales ","02-565413",""
"10","Seed Bars Yogurt Manzana Verde - Barra de cereal","No registra","Barra de cereal sabor yogurt de manzana verde - Libre de gluten-","02-552954",""
"10","Starbucks Coffee Argentina S.R.L.","No registra","Alimento a base de cereales, almendras, maní y quínoa - Libre de gluten- Barra de cereales","02-590232",""
"10","Susana Dieta","No registra","Alimento a base de cereales, fructosa, castañas de cajú y pasas de uva libre de gluten - Granola con pasas de uva","02-575050",""
"10","Susana Dieta","No registra","Alimento a base de cereales, fructosa, manzana, castañas de cajú y canela - Granola con manzana y canela libre de gluten ","02-575051",""
"11","Día %","No registra","Bebida a base de suero de leche, leche entera y azúcar fortificado con vitamina C - Sabor frutilla - Libre de gluten","02-563262",""
"11","Gran Compra","No registra","Bebida a base de yogur parcialmente descremado endulzado fortificado con vitaminas A, D y ácido fólico, zinc, sabor vainilla libre de gluten ","02-581625",""
"11","Gran Compra","No registra","Bebida a base de yogur dietético edulcorado descremado reducido en calorías sabor a vainilla. Libre de gluten - Light en calorías","02-587688",""
"11","Gran Compra Light","No registra","Bebida a base de yogur dietético edulcorado descremado reducido en calorías sabor a frutilla libre de gluten","02-586112 ",""
"11","Junior - La Serenísima","No registra","Alimento a base de leche descremada baja en lactosa fortificada con calcio y jugo de pera, homogeneizado, UAT, fortificado con hierro, zinc, vitaminas A, D, B2, B9 y C. Reducido en su contenido graso y calórico, sabor pera dulce - Libre de gluten","02-572892",""
"11","Junior - La Serenísima","No registra","Alimento a base de leche descremada baja en lactosa fortificada con calcio, con puré de banana y sabor vainilla, homogeneizado, UAT, fortificado con hierro. Zinc, vitaminas A, D, B2, B9 y C - Libre de gluten","02-576569",""
"11","Junior - La Serenísima","No registra","Alimento a base de leche descremada baja en lactosa fortificada con calcio, con puré de banana y sabor vainilla, homogeneizado, ultrapasteurizado, fortificado con hierro, zinc, vitaminas A, D, B2, B9 y C - Libre de gluten","02-576570",""
"11","Junior - La Serenísima","No registra","Alimento a base de leche parcialmente descremada baja en lactosa fortificada con calcio, homogeneizado, UAT, fortificado con hierro, zinc, vitaminas A, D, B2, B9 y C. Sabor chocolate blanco con cereales. Libre de gluten","02-578442",""
"11","La Serenísima - Junior","No registra","Alimento dietético a base de leche descremada baja en lactosa fortificado con calcio y jugo de frutas (uva-ananá) homogeneizado, UAT, fortificado con hierro, zinc, vitaminas A, D, B2,B9 y C reducido en contenido graso y calórico sabor uva, ananá, libre de gluten ","02-566527",""
"11","La Serenísima - Junior","No registra","Alimento a base de leche descremada baja en lactosa fortificado con calcio y jugo de frutas (uva y ananá) homogeneizado, UAT, fortificado con hierro, zinc, vitaminas A, D, B2, B9 y C reducido en su contenido graso y calórico. Sabor uva-ananá. Libre de gluten","02-566528",""
"11","La Serenísima - Junior","No registra","Alimento a base de leche descremada baja en lactosa fortificada con calcio y jugo de frutilla, homogeneizado, UAT, fortificado con hierro, zinc, vitaminas A, D, B2, B9 y C reducido en su contenido graso y calórico. Sabor frutimix (sandia - melón - frutilla) libre de gluten - Sin TACC ","02-570398",""
"11","La Serenísima - Junior","No registra","Alimento a base de leche descremada baja en lactosa fortificada con calcio y jugo de frutilla, homogeneizado, ultrapasteurizado fortificado con hierro, zinc y vitaminas A, D, B2, B9 y B reducido en su contenido graso y calórico. Sabor frutimix (sandia - melón - frutilla) libre de gluten - Sin TACC ","02-570402",""
"11","La Serenísima - Junior","No registra","Alimento a base de leche parcialmente descremada, reducida en lactosa fortificada con calcio, y dulce de leche, homogeneizado, U.A.T., fortificado con hierro, zinc y vitaminas A, B, B2, B9 y C. Libre de gluten","02-585047 ",""
"11","La Serenísima - Junior ","No registra","Bebida a base de leche con puré de banana fortificada con calcio ,hierro y vitaminas A, B2, B9, C y D libre de gluten -UAT ","02-534034",""
"11","La Serenísima - Junior ","No registra","Bebida a base de leche parcialmente descremada y dulce de leche, fortificada con calcio, hierro y vitaminas A, D, B2, C y B9 - Libre de gluten","02-554625",""
"11","La Serenísima - Más","No registra","Alimento a base de leche entera reducida en lactosa con puré de banana, homogeneizado, ultrapasteurizado, con hierro, fortificado con calcio, zinc, vitaminas A, D y C - Libre de gluten - Sin TACC ","02-570394",""
"11","La Serenísima - Más ","No registra","Alimento a base de leche entra reducida en lactosa y jugo de frutilla, homogeneizado, ultrapasteurizado, con hierro, fortificado con calcio, zinc, vitaminas A, D y C. Libre de gluten sin TACC ","02-569685",""
"11","La Serenísima - Más ","No registra","Alimento dietético a base de leche descremada baja en lactosa fortificada con calcio y jugo de frutas (naranja, manzana, durazno y preparado de banana) homogeneizado, ultrapasteurizado fortificado con vitaminas A, D y C, sabor multifruta - Libre de gluten - Sin TACC","02-571414",""
"11","La Serenísima - Serecol","No registra","Alimento a base de leche parcialmente descremada y café, homogeneizado, ultrapasteurizado, fortificado con calcio, vitaminas A, D, y E, con fitoesteroles y ácidos grasos omega 3. Libre de gluten - Sin TACC","02-569606",""
"11","La Serenísima - Serecol","No registra","Alimento a base de leche descremada baja en lactosa fortificada con calcio, y jugo de pera, homogeneizado, ultrapasteurizado, fortificado con vitaminas A, C, D, y E, con fitoesteroles y ácidos grasos omega 3. Reducido en su contenido de azúcares, reducido ","02-576598",""
"11","La Serenísima - Serecol ","No registra","Alimento a base de leche descremada baja en lactosa fortificada con calcio y jugo de manzana, homogeneizado, ultrapasteurizado con fitoesteroles y ácidos grasos omega 3, fortificado con vitaminas A, C, D y E. Reducido en su contenido de azúcares. Reducido en su contenido calórico. Libre de gluten ","02-512425",""
"11","La Serenísima Más","No registra","Alimento a base de leche entera reducida en lactosa y jugo de frutilla, homogeneizado, ultrapasteurizado, con hierro, fortificado con calcio, zinc, vitaminas A, D y C. Libre de gluten","02-572041",""
"11","La Serenísima Más","No registra","Alimento a base de leche entera, homogeneizado, ultrapasteurizado, con hierro, fortificado con calcio, zinc, vitaminas a, d y c. Sabor vainilla. Libre de gluten","02-572160",""
"11","La Suipachense","No registra","Bebida a base de sólidos lácteos, leche descremada y azúcar sabor a cacao fortificada con vitaminas A, E y B2. Libre de gluten ultrapasteurizada","02-564828",""
"11","Mastellone","No registra","Alimento a base de leche parcialmente descremada, azúcar, café y cacao homogeneizado, UAT - Libre de gluten","02-568232",""
"11","Mastellone - Junior","No registra","Alimento a base de leche descremada baja en lactosa, fortificada con calcio y jugo de manzana homogeneizado, UAT, fortificado con hierro, zinc, vitaminas A, D, B2, B9 y C, reducido en su contenido graso y calórico, libre de gluten ","02-567901",""
"11","Mastellone - Junior","No registra","Alimento a base de leche parcialmente descremada baja en lactosa fortificada con calcio, homogeneizado, UAT, fortificado con hierro, zinc, vitaminas A, D, B2, B9 y C. Sabor chocolate blanco con cereales. Libre de gluten ","02-568283",""
"11","Mastellone - Junior","No registra","Alimento a base de leche parcialmente descremada baja en lactosa fortificada con calcio, homogeneizado, ultrapasteurizado, fortificado con hierro, zinc, vitaminas A, D, B2, B9 y B. Sabor chocolate blanco con cereales. Libre de gluten","02-568416",""
"11","Mastellone - Junior","No registra","Alimento a base de leche parcialmente descremada baja en lactosa, fortificada con calcio y dulce de leche, homogeneizado, ultrapasteurizado, fortificado con hierro, zinc, vitaminas A, D, B2, B9 y B - Libre de gluten ","02-568942",""
"20","Pleny - Mix de frutas con maní y girasol","No registra","Alimento a base de frutas secas, maní y girasol - Libre de gluten - Mix de frutas con maní y girasol","02-588711",""
"20","Susana Dieta","No registra","Granola con chips de chocolate - Libre de gluten","02-574116",""
"21","Aglu","No registra","Rebozador - Libre de gluten","02-526241",""
"21","Arrozen","No registra","Rebozador a base de arroz, libre de gluten","02-586139 ",""
"21","Calidad Es Primer Precio","No registra","Harina de maíz para preparar polenta. Libre de gluten","02-569624",""
"21","Calidad Es Primer Precio.","No registra","Harina de maíz de cocción rápida para preparar polenta. Libre de gluten","02-569625",""
"21","Carrefour","No registra","Harina de maíz de cocción rápida para preparar polenta - Libre de gluten - Sin TACC","02-520749",""
"21","Carrefour","No registra","Harina de maíz para polenta - Libre de gluten","02-520750",""
"21","Colabella","No registra","Premezcla a base de cascarilla de cacao y mijo sabor a cacao. Libre de gluten ","02-580457",""
"21","Colabella","No registra","Premezcla a base de semilla de quínoa. Libre de gluten ","02-580458",""
"21","Colabella","No registra","Premezcla a base de semillas de arroz, alpiste, mijo, sésamo, chía, quínoa, amaranto, alfalfa, amapola, zapallo y girasol. Libre de gluten ","02-580463",""
"21","Colabella","No registra","Premezcla a base de cascarilla de mijo. Libre de gluten ","02-580464",""
"21","Colabella","No registra","Premezcla a base de soja, lino y cacao sabor cacao. Libre de gluten ","02-580465",""
"21","Colabella","No registra","Premezcla a base de soja, lino y cacao sabor vainilla. Libre de gluten ","02-580466",""
"21","Colabella","No registra","Premezcla a base de semilla de soja integral. Libre de gluten ","02-580469",""
"21","Colabella","No registra","Premezcla a base de arroz integral. Libre de gluten ","02-580472",""
"21","Colabella","No registra","Premezcla ka base de semilla de alpiste. Libre de gluten ","02-580474",""
"21","Colabella","No registra","Premezcla a base de semilla de mijo. Libre de gluten ","02-580475",""
"21","Colabella","No registra","Premezcla a base de semilla de sésamo. Libre de gluten ","02-580476",""
"21","Colabella - Batter Adherente","No registra","Premezcla a base de semilla de arroz integral sin sal agregada - Libre de gluten","02-580433",""
"21","Colabella - Rebozador","No registra","Premezcla a base de semilla de soja integral para rebozar sin sal agregada - Libre de gluten","02-580436",""
"21","Del Campo","No registra","Harina de maíz orgánica de cocción rápida para preparar polenta - Libre de gluten","02-526589",""
"21","Del Campo","No registra","Harina de maíz de cocción rápida para preparar polenta instantánea fortificada con vitamina B1, vitamina B2, niacina, ácido fólico, vitamina A y hierro. Libre de gluten","02-591808",""
"21","Del Campo - Polenta instantánea","No registra","Harina de maíz de cocción rápida para preparar polenta. Libre de gluten","02-522487",""
"21","Delicel - Premezcla para panadería-repostería","No registra","Mezcla de almidón de maíz, harina de arroz y fécula de mandioca - Libre de gluten - Sin TACC","02-572314",""
"21","Delicel - Premezcla para preparar bizcochuelo de chocolate","No registra","Mezcla de azúcar, leche en polvo descremada, almidón de maíz, harina de arroz y cacao en polvo - Libre de gluten - sin TACC","02-572317",""
"21","Delicel - Premezcla para preparar bizcochuelo de vainilla","No registra","Mezcla de azúcar, leche en polvo descremada, almidón de maíz y harina de arroz - Libre de gluten - Sin TACC ","02-572316",""
"21","Delicel - Premezcla para preparar pan","No registra","Mezcla de almidón de maíz, harina de mandioca y harina de arroz - Libre de gluten - Sin TACC ","02-572315",""
"21","Delicel - Premezcla para preparar pizza","No registra","Mezcla de almidón de maíz, harina de arroz y fécula de mandioca - Libre de gluten - Sin TACC","02-572312",""
"21","Día % ","No registra","Polvo para preparar pan a base de almidón de mandioca con sabor a queso - Libre de gluten","02-584215 ",""
"21","Dr. Deli","No registra","Mezcla de semillas a base de lino, chía entera, girasol y pasas de uva - Libre de gluten","02-579819",""
"21","Dr. Deli","No registra","Mezcla a base de semillas de zapallo, girasol pelado, lino, sésamo integral y maní tostado - Libre de gluten","02-579820",""
"21","Dr. Deli","No registra","Mezcla de semillas a base de semillas de chía entera, sésamo y semillas de girasol - Libre de gluten","02-579821",""
"13","Ades Light ","No registra","Alimento de soja líquido bajas calorías con jugo de durazno, fortificado con vitaminas C, B1, B2, B3, B6, B9 y B12, libre de gluten","02-560696",""
"13","Awafrut","No registra","Bebida sin alcohol dietética con 10 % de jugo de pomelo - Bajas calorías. Libre de gluten","02-567856",""
"13","Bengala","No registra","Bebida sin alcohol dietética artificial - Naranja gasificada bajas calorías - Libre de gluten","02-528112",""
"13","Bengala","No registra","Bebida sin alcohol dietética artificial sabor pomelo, gasificada, bajas calorías - Libre de gluten","02-528113",""
"13","Bengala","No registra","Bebida sin alcohol dietética artificial sabor pomelo rosado. Gasificada. Bajas calorías. Libre de gluten ","02-571235",""
"13","Goliat ? Sport ","No registra","Bebida sin alcohol dietética artificial naranja gasificada bajas calorías - Libre de gluten ","02-553427",""
"13","Goliat ? Sport ","No registra","Bebida sin alcohol dietética artificial lima - limón gasificada bajas calorías - Libre de gluten ","02-553428",""
"13","Goliat ? Sport ","No registra","Bebida sin alcohol dietética artificial pomelo gasificada bajas calorías - Libre de gluten ","02-553429",""
"13","Goliat Premium","No registra","Bebida sin alcohol a base de extractos vegetales sabor cola - Gasificada - Libre de gluten ","02-515532",""
"13","Goliat? Sport","No registra","Bebida sin alcohol dietética artificial - Lima limón -Gasificada - Bajas calorías - Libre de gluten","02-593246",""
"13","Goliat? Sport","No registra","Bebida sin alcohol dietética artificial - Pomelo -gasificada - Bajas calorías","02-593247",""
"13","Luzvida ","No registra","Alimento a base de prensado de brote de trigo - Supercongelado libre de gluten","02-582605",""
"13","Sierra de los Padres","No registra","Bebida sin alcohol dietética gasificada con 5% de jugo de limón y vitaminas B9 y B12 sabor naranja limón - Bajas calorías - Libre de gluten","02-524269",""
"13","Sierra de los Padres ? Citrus ","No registra","Bebida dietética gasificada sin alcohol con 5% de jugo de limón y vitaminas B9 y B12 sabor citrus - Bajas calorías - Libre de gluten","02-512595",""
"13","Speed Unlimited","No registra","Bebida sin alcohol de extractos vegetales gasificada libre de gluten","02-520885",""
"13","Speed Unlimited Energy Drink","No registra","Bebida analcohólica con cafeína y taurina suplementada con biotina. Libre de gluten","02-554439",""
"13","Terma","No registra","Amargo sin alcohol dietético, bajas calorías con limón - Terma stevia limón - Libre de gluten","02-582961",""
"13","Terma - Terma con pomelo","No registra","Amargo sin alcohol con pomelo - Libre de gluten","02-555413",""
"13","Terma - Terma Limón","No registra","Amargo sin alcohol con limón dietético bajas calorías - Libre de gluten","02-577311",""
"13","Terma Cuyano","No registra","Amargo sin alcohol dietético bajas calorías - Libre de gluten","02-577314",""
"13","Terma Light","No registra","Amargo sin alcohol dietético bajas calorías - Libre de gluten","02-555404",""
"13","Terma Light","No registra","Amargo sin alcohol dietético - Bajas calorías libre de gluten","02-567477",""
"13","Terma ","No registra","Amargo sin alcohol con limón dietético, bajas calorías - Terma Cero Limón. Libre de gluten","02-555279",""
"13","Terma Light - Terma Patagónico Light","No registra","Amargo sin alcohol dietético bajas calorías - Libre de gluten","02-555483",""
"13","Terma Light -Terma Citrus Light","No registra","Amargo sin alcohol con pomelo y limón dietético bajas calorías - Libre de gluten","02-560457",""
"13","Terma Manzana - Terma Manzana Arándano","No registra","Amargo sin alcohol con manzana dietético bajas calorías - Libre de gluten","02-577319",""
"13","Terma Patagónico","No registra","Amargo sin alcohol dietético bajas calorías - Libre de gluten","02-577316",""
"13","Terma Serrano","No registra","Amargo sin alcohol. Libre de gluten","02-555280",""
"14","Benot","No registra","Bombones de chocolate rellenos dietéticos modificados en su composición glucídica sin azúcar agregada - Libre de gluten-surtidos (menta, naranja, frutos rojos)","02-569425",""
"14","Benot","No registra","Medallón de chocolate relleno dietético modificado en su composición glucídica sin azúcar agregada sabor menta - Libre de gluten - Sin TACC ","02-570815",""
"14","Benot","No registra","Chocolate con leche dietético modificado en su composición glucídica, sin azúcar agregada y libre de gluten","02-570816",""
"21","Solazteca","No registra","Semillas de lino- Libre de gluten","02-593178",""
"21","Sturla","No registra","Semilla de chía entera libre de gluten","02-505180",""
"21","Sturla","No registra","Semilla de amaranto. Libre de gluten ","02-532550",""
"21","Sturla","No registra","Semilla de amaranto molida. Libre de gluten ","02-532551",""
"21","Sturla","No registra","Semilla de quínoa libre de gluten","02-532552",""
"21","Sturla","No registra","Harina de quínoa. Libre de gluten ","02-532553",""
"21","Sturla","No registra","Semilla de chía triturada parcialmente desgrasada - Libre de gluten ","02-532649",""
"21","Sturla","No registra","Semilla de sésamo. Libre de gluten","02-533007",""
"21","Sturla","No registra","Harina de garbanzo. Libre de gluten ","02-533009",""
"21","Sturla","No registra","Semilla de lino. Libre de gluten","02-533010",""
"21","Sturla","No registra","Semilla de sésamo molida parcialmente desgrasada. Libre de gluten ","02-533142",""
"21","Sturla","No registra","Semilla de lino entera y molida (Linum usitatisimum), libre de gluten sin TACC ","02-569484",""
"21","Sturla","No registra","Mezcla de semillas de sésamo blanco, chía y quínoa, libre de gluten - Sin TACC ","02-569493",""
"21","Sturla","No registra","Mezcla de semillas de amaranto, quínoa y chía, libre de gluten - Sin TACC ","02-569494",""
"21","Sturla","No registra","Mezcla de semillas de chía, amaranto y amapola, libre de gluten - Sin TACC ","02-569495",""
"21","Sturla","No registra","Mezcla de semillas de lino y semillas de chía libre de gluten - Mix semillas lino y chía","02-593248",""
"21","Sturla","No registra","Mezcla de semillas de lino, sésamo integral y quínoa libre de gluten - Mix topping semillas","02-593250",""
"21","Sturla ","No registra","Mezcla de semillas de chía, sésamo blanco y lino, libre de gluten - Sin TACC ","02-569485",""
"21","Sturla ","No registra","Semilla de zapallo entera (Cucurbita maxima) - Libre de gluten - Sin TACC","02-569486",""
"21","Sturla ","No registra","Semilla de lino molida parcialmente desgrasada (Linux usitatisimum) - Libre de gluten. Sin TACC","02-569487",""
"21","Sturla ","No registra","Semilla de amaranto negro (Amarantus muricatus) libre de gluten - Sin TACC","02-569489",""
"21","Sturla ","No registra","Semilla de sésamo entera tostada (Sesamum indicum) - Libre de gluten - Sin TACC","02-569490",""
"21","Sturla ","No registra","Semilla de zapallo tostada entera (Cucurbita maxima), libre de gluten - Sin TACC","02-570061",""
"21","Sturla ","No registra","Semilla de girasol pelada entera (Helianthus annus) libre de gluten sin TACC","02-570062",""
"21","Sturla ","No registra","Semilla de girasol pelada tostada entera, libre de gluten - Sin TACC","02-570063",""
"21","Sturla crocante","No registra","Mezcla de semillas de chía, sésamo y girasol tostado - Libre de gluten","02-577435",""
"21","Sturla Oriental","No registra","Mezcla de semillas de sésamo integral, chía y sésamo negro - Libre de gluten","02-588880",""
"21","Sturla rústica","No registra","Mezcla de semillas de chía, sésamo, girasol y lino - Libre de gluten","02-577458",""
"21","Tante Gretty","No registra","Premezcla libre de gluten - Uso universal (para panificación, repostería y cocina)","02-502073",""
"21","Tante Gretty","No registra","Fécula de papa - Libre de gluten ","02-580415",""
"21","Tante Gretty ","No registra","Premezcla integral multicereal - Libre de gluten ","02-569931",""
"21","Tía Maruca ","No registra","Rebozador de arroz libre de gluten","02-586877 ",""
"22","Codeland","No registra","Pasta para relleno sabor marroc producida para confitería - Libre de gluten","02-531648",""
"22","Codeland","No registra","Pasta para rellenos con dulce de leche - Libre de gluten","02-592509",""
"22","Codeland","No registra","Pasta para rellenos sabor maracuyá- Libre de gluten","02-592510",""
"22","Codeland","No registra","Pasta para rellenos con coco- Libre de gluten","02-592511",""
"22","Codeland","No registra","Pasta para rellenos sabor arándanos- Libre de gluten","02-592512",""
"24","Pérgola ","No registra","Pimienta blanca libre de gluten.","02-573041",""
"25","Marechiare","No registra","Sardinas en aceite - Libre de gluten","02-591609",""
"25","Nereida","No registra","Sardinas argentinas en aceite libre de gluten","02-561192",""
"25","Puglisi","No registra","Cazuela de calamares - Libre de gluten","02-531246",""
"25","Puglisi","No registra","Atún en aceite - Libre de gluten","02-559660",""
"25","Puglisi","No registra","Atún al natural - Libre de gluten","02-559661",""
"25","Puglisi","No registra","Caballa en aceite - Libre de gluten","02-559662",""
"25","Puglisi","No registra","Sardinas argentinas en aceite - Libre de gluten","02-559663",""
"25","Puglisi","No registra","Sardinas argentinas en salsa de tomate - Libre de gluten","02-587148",""
"25","Puglisi","No registra","Anchoítas en salmuera libre de gluten","02-588352",""
"25","Puglisi ","No registra","Caballa en salsa de tomate - Libre de gluten ","02-508512",""
"25","Puglisi ","No registra","Calamares en aceite, libre de gluten ","02-508514",""
"26","Sturla","No registra","Arándanos liofilizados libres de gluten","02-576237",""
"27","Castell","No registra","Aceitunas verdes descarozadas en salmuera, variedad manzanilla, libre de gluten ","02-501150",""
"27","Castell","No registra","Aceitunas verdes rellenas con pasta de morrón en salmuera variedad manzanilla, libre de gluten","02-508938",""
"27","Castell","No registra","Cebollitas en vinagre de alcohol libre de gluten","02-573643",""
"27","Castell","No registra","Aceitunas verdes en salmuera, variedad arauco, calidad II, grupo D, libre de gluten","02-578033",""
"27","Castell","No registra","Aceitunas negras en salmuera, calidad II, grupo D, libre de gluten","02-578035",""
"27","Inca","No registra","Arvejas secas remojadas sin sal agregada - Libres de gluten","02-589458",""
"27","Valle de Oro","No registra","Arvejas secas remojadas sin sal agregada - Libre de gluten","02-589459",""
"28","Adrianita","No registra","Crema de leche pasteurizada - Libre de gluten","02-589381",""
"28","Amanecer","No registra","Crema pasteurizada libre de gluten","02-503265",""
"28","Casancrem","No registra","Alimento fermentado a base de crema, leche y proteínas sabor manteca. Libre de gluten","02-586157 ",""
"28","Clamor","No registra","Crema pasteurizada - Libre de gluten","02-554391",""
"28","Día","No registra","Crema de leche. Libre de gluten ","02-580327",""
"28","La Rodriguense","No registra","Crema UAT - Libre de gluten","02-584334 ",""
"28","La Salamandra ","No registra","Crema de leche pasteurizada - Libre de gluten","02-584721 ",""
"28","La Serenísima","No registra","Crema UAT - Libre de gluten","02-507896",""
"28","La Serenísima","No registra","Crema pasteurizada, libre de gluten","02-560951",""
"28","La Serenísima","No registra","Crema UAT. Libre de gluten","02-593454",""
"28","La Serenísima ","No registra","Crema UAT Libre de gluten","02-528461",""
"28","La Suipachense","No registra","Crema de leche - Libre de gluten","02-524707",""
"28","Lácteos del Plata","No registra","Crema UAT libre de gluten ","02-582860",""
"28","Mar Chiquita","No registra","Crema UAT - Libre de gluten ","02-586134 ",""
"28","Melincué","No registra","Crema de leche libre de gluten","02-589435",""
"28","Vacalin","No registra","Crema pasteurizada - Libre de gluten","02-519344",""
"29","Amanecer","No registra","Dulce de leche libre de gluten","02-508370",""
"29","Bandolero ","No registra","Dulce de leche para repostería. Libre de gluten ","02-510087",""
"29","Cachafaz","No registra","Dulce de leche, libre de gluten","02-579634",""
"29","Canale","No registra","Dulce de leche libre de gluten ","02-510025",""
"29","Carnevali","No registra","Dulce de leche - Libre de gluten","02-529472",""
"29","Carnevali","No registra","Dulce de leche para repostería - Libre de gluten","02-529473",""
"29","Casanto","No registra","Dulce de leche, libre de gluten","02-591699",""
"33","Arrocitas","No registra","Galletas de arroz integral yamaní con sal, semillas de sésamo y lino - Libre de gluten","02-553857",""
"33","Arrocitas","No registra","Galleta de arroz integral yamaní con semillas de lino y sésamo sin sal agregada - Libre de gluten","02-554895",""
"33","Arrocitas","No registra","Discos dulces de arroz yamaní libre de gluten - Galletas dulces con arroz yamaní libre de gluten","02-575354",""
"33","Arrozen","No registra","Galletitas dulces con dulce de membrillo libres de gluten - Pepas","02-560314",""
"33","Arrozen","No registra","Galleta de arroz integral dulce, sabor manzana y canela - Libre de gluten","02-586187 ",""
"33","Arrozen","No registra","Galleta de arroz integral con sal, almendras, avellanas y maní - Libre de gluten","02-586189 ",""
"33","Arrozen","No registra","Galleta de arroz integral con baño de repostería. Libre de gluten","02-586215 ",""
"33","Café Martínez","No registra","Masitas de limón libre de gluten","02-585541",""
"33","Café Martínez","No registra","Bizcochos salados libre de gluten","02-585545",""
"33","Celi & Co - Tostaditas saladas","No registra","Alimento a base de arroz y maní, semillas de sésamo y semillas de lino con sal agregada - Libre de gluten","02-587790",""
"33","Celi & Co - Tostarritas dulces","No registra","Alimento a base de arroz y maní dulce sabor caramelo - Libre de gluten","02-587789",""
